end_station_name,Count of ride_id
Streeter Dr & Grand Ave,63502
DuSable Lake Shore Dr & North Blvd,40061
DuSable Lake Shore Dr & Monroe St,39920
Michigan Ave & Oak St,36384
Kingsbury St & Kinzie St,35266
Clinton St & Washington Blvd,31267
Clark St & Elm St,31167
Millennium Park,31004
Clinton St & Madison St,30152
Wells St & Concord Ln,28294
Theater on the Lake,28232
Wells St & Elm St,26714
Dearborn St & Erie St,24554
Clinton St & Jackson Blvd,24488
State St & Chicago Ave,24051
Indiana Ave & Roosevelt Rd,23996
Shedd Aquarium,23761
Canal St & Madison St,23400
Wabash Ave & Grand Ave,23383
University Ave & 57th St,23091
Clark St & Armitage Ave,22695
Dusable Harbor,22673
Michigan Ave & Washington St,22558
Clark St & Lincoln Ave,22513
Wells St & Huron St,21079
Wells St & Hubbard St,21072
Broadway & Barry Ave,21039
Wilton Ave & Belmont Ave,20791
Daley Center Plaza,20774
New St & Illinois St,20552
LaSalle St & Illinois St,20476
Dearborn Pkwy & Delaware Pl,20317
Ellis Ave & 60th St,20317
Michigan Ave & Lake St,20145
Canal St & Adams St,20113
McClurg Ct & Ohio St,20030
Wabash Ave & Roosevelt Rd,19776
Halsted St & Fulton St,19070
Larrabee St & Kingsbury St,19015
DuSable Lake Shore Dr & Diversey Pkwy,18985
Desplaines St & Kinzie St,18836
Green St & Madison St,18415
Ellis Ave & 55th St,18181
Ashland Ave & Division St,18069
Michigan Ave & 8th St,17882
Sheffield Ave & Waveland Ave,17767
Sheffield Ave & Fullerton Ave,17700
Clinton St & Lake St,17679
Dearborn St & Monroe St,17673
Clark St & Wrightwood Ave,17607
Halsted St & Clybourn Ave,17501
Kingsbury St & Erie St,17318
Morgan St & Polk St,17207
Broadway & Waveland Ave,17160
Columbus Dr & Randolph St,17158
Orleans St & Merchandise Mart Plaza,17101
Montrose Harbor,17072
Broadway & Cornelia Ave,16749
Damen Ave & Pierce Ave,16695
Clark St & Drummond Pl,16617
Loomis St & Lexington St,16568
Clark St & Lake St,16539
Lincoln Ave & Fullerton Ave,16460
St. Clair St & Erie St,16174
Fairbanks Ct & Grand Ave,15993
Federal St & Polk St,15951
DuSable Lake Shore Dr & Belmont Ave,15882
Larrabee St & Webster Ave,15880
Pine Grove Ave & Waveland Ave,15820
Clark St & Newport St,15702
Clark St & Schiller St,15469
Lakeview Ave & Fullerton Pkwy,15356
LaSalle St & Jackson Blvd,15322
Franklin St & Jackson Blvd,15304
Wells St & Evergreen Ave,15201
DuSable Lake Shore Dr & Wellington Ave,15108
State St & Randolph St,15053
Peoria St & Jackson Blvd,15008
Ravenswood Ave & Lawrence Ave,14999
Southport Ave & Waveland Ave,14930
Adler Planetarium,14904
McClurg Ct & Erie St,14849
Halsted St & Polk St,14717
Franklin St & Lake St,14667
State St & 33rd St,14665
Southport Ave & Roscoe St,14526
Halsted St & Roscoe St,14461
Kimbark Ave & 53rd St,13950
Rush St & Cedar St,13941
State St & Kinzie St,13789
Rush St & Superior St,13594
Halsted St & Wrightwood Ave,13536
Stockton Dr & Wrightwood Ave,13532
Sheridan Rd & Irving Park Rd,13461
Aberdeen St & Jackson Blvd,13368
Mies van der Rohe Way & Chestnut St,13352
Franklin St & Illinois St,13261
Franklin St & Monroe St,13116
Sheffield Ave & Wellington Ave,13089
Sheffield Ave & Wrightwood Ave,12970
Sheffield Ave & Webster Ave,12959
Lincoln Park Conservatory,12958
Mies van der Rohe Way & Chicago Ave,12837
Broadway & Belmont Ave,12802
Bissell St & Armitage Ave*,12746
Wabash Ave & 9th St,12682
Wabash Ave & Wacker Pl,12615
Sedgwick St & Huron St,12592
MLK Jr Dr & 29th St,12514
Clarendon Ave & Gordon Ter,12397
Clark St & Wellington Ave,12375
Halsted St & Dickens Ave,12354
Michigan Ave & Jackson Blvd,12351
Milwaukee Ave & Grand Ave,12272
Pine Grove Ave & Irving Park Rd,12242
Cityfront Plaza Dr & Pioneer Ct,12158
Sedgwick St & North Ave,12007
Sheridan Rd & Montrose Ave,11960
Broadway & Sheridan Rd,11921
Sedgwick St & Webster Ave,11852
Clark St & Winnemac Ave,11780
Sheffield Ave & Kingsbury St,11698
Lakefront Trail & Bryn Mawr Ave,11647
Calumet Ave & 33rd St,11494
Morgan St & Lake St*,11399
Sangamon St & Lake St,11391
Desplaines St & Jackson Blvd,11376
Michigan Ave & 14th St,11373
Wood St & Milwaukee Ave,11341
Field Blvd & South Water St,11320
Ogden Ave & Chicago Ave,11232
900 W Harrison St,11210
Buckingham Fountain,11201
Clark St & North Ave,11140
Racine Ave & Fullerton Ave,11074
Wabash Ave & Adams St,10877
Aberdeen St & Randolph St,10842
Dayton St & North Ave,10734
Clark St & Chicago Ave,10682
Shore Dr & 55th St,10580
Canal St & Jackson Blvd,10563
Burling St & Diversey Pkwy,10542
Wells St & Randolph St,10540
Honore St & Division St,10527
Milwaukee Ave & Wabansia Ave,10506
Southport Ave & Wellington Ave,10468
Franklin St & Chicago Ave,10360
Broadway & Wilson Ave,10349
Wilton Ave & Diversey Pkwy,10324
Clark St & Grace St,10234
Elizabeth St & Randolph St,10200
Burnham Harbor,10186
Rush St & Hubbard St,10146
Michigan Ave & Madison St,10121
Damen Ave & Cortland St,10030
Clifton Ave & Armitage Ave,10026
May St & Taylor St,10004
Michigan Ave & Pearson St,9949
Franklin St & Adams St (Temp),9945
Canal St & Monroe St,9844
LaSalle Dr & Huron St,9824
Halsted St & Maxwell St,9789
Wells St & Polk St,9786
Ritchie Ct & Banks St,9781
Clarendon Ave & Junior Ter,9772
California Ave & Milwaukee Ave,9674
Wells St & Walton St,9652
Stetson Ave & South Water St,9574
Clark St & Berwyn Ave,9429
Racine Ave & Belmont Ave,9422
Damen Ave & Chicago Ave,9405
Lincoln Ave & Diversey Pkwy,9301
Southport Ave & Wrightwood Ave,9295
Field Museum,9206
Southport Ave & Belmont Ave,9113
Elston Ave & Cortland St,9110
Lincoln Ave & Melrose St,9104
Lake Park Ave & 56th St,9024
Woodlawn Ave & 55th St,8959
Dearborn St & Adams St,8935
Michigan Ave & 18th St,8891
Halsted St & Willow St,8817
Larrabee St & Division St,8773
Blackstone Ave & 59th St,8739
Kedzie Ave & Milwaukee Ave,8648
Sheridan Rd & Buena Ave,8568
Aberdeen St & Monroe St,8563
Green St & Randolph St*,8466
Wacker Dr & Washington St,8466
Clark St & Leland Ave,8383
Sheffield Ave & Willow St,8310
Calumet Ave & 18th St,8275
Carpenter St & Huron St,8275
Ogden Ave & Race Ave,8251
Woodlawn Ave & 58th St,8203
Greenview Ave & Fullerton Ave,8063
Ellis Ave & 58th St,8049
Orleans St & Hubbard St,8012
Western Ave & Winnebago Ave,7888
Green St & Washington Blvd,7887
Larrabee St & Oak St,7832
Wolcott Ave & Polk St,7811
Paulina St & Flournoy St,7760
Sangamon St & Washington Blvd,7716
Jefferson St & Monroe St,7694
Damen Ave & Division St,7670
Wabash Ave & 16th St,7590
Lincoln Ave & Roscoe St*,7476
Financial Pl & Ida B Wells Dr,7466
State St & Van Buren St,7443
Streeter Dr/Grand Ave,7410
Throop St & Taylor St,7392
State St & Pearson St,7333
Clark St & Ida B Wells Dr,7271
LaSalle St & Washington St,7254
Rhodes Ave & 32nd St,7212
Cornell Ave & Hyde Park Blvd,7145
Desplaines St & Randolph St,7143
Larrabee St & Armitage Ave,7141
Ada St & Washington Blvd,7051
Halsted St & Roosevelt Rd,7020
Eckhart Park,6950
Lakefront Trail & Wilson Ave,6950
State St & Harrison St,6908
McCormick Place,6905
Fairbanks St & Superior St,6888
