start_station_name,Count of ride_id
Streeter Dr & Grand Ave,61911
DuSable Lake Shore Dr & Monroe St,41197
DuSable Lake Shore Dr & North Blvd,36483
Michigan Ave & Oak St,36148
Kingsbury St & Kinzie St,35665
Clark St & Elm St,31779
Clinton St & Washington Blvd,31075
Millennium Park,30394
Clinton St & Madison St,29735
Wells St & Concord Ln,27908
Theater on the Lake,27297
Wells St & Elm St,26615
Dearborn St & Erie St,24959
Shedd Aquarium,24525
Clinton St & Jackson Blvd,24094
Indiana Ave & Roosevelt Rd,24090
State St & Chicago Ave,23748
Canal St & Madison St,23399
Wabash Ave & Grand Ave,23347
Dusable Harbor,23145
University Ave & 57th St,22763
Clark St & Armitage Ave,22205
Michigan Ave & Washington St,22142
Clark St & Lincoln Ave,21949
Wells St & Huron St,21886
Wells St & Hubbard St,21299
Desplaines St & Kinzie St,21073
LaSalle St & Illinois St,21011
Wilton Ave & Belmont Ave,20429
New St & Illinois St,20406
Ellis Ave & 60th St,20387
Broadway & Barry Ave,20324
Dearborn Pkwy & Delaware Pl,20203
Canal St & Adams St,20107
Columbus Dr & Randolph St,20015
Daley Center Plaza,19953
McClurg Ct & Ohio St,19880
Michigan Ave & Lake St,19877
Wabash Ave & Roosevelt Rd,19749
Larrabee St & Kingsbury St,19674
Halsted St & Fulton St,19095
Michigan Ave & 8th St,19086
Kingsbury St & Erie St,18522
Clinton St & Lake St,18355
DuSable Lake Shore Dr & Diversey Pkwy,18350
Orleans St & Merchandise Mart Plaza,18191
Ashland Ave & Division St,18054
Green St & Madison St,17974
Sheffield Ave & Fullerton Ave,17919
Ellis Ave & 55th St,17896
Dearborn St & Monroe St,17708
Morgan St & Polk St,17534
Clark St & Wrightwood Ave,17422
Clark St & Lake St,17367
Montrose Harbor,17259
Halsted St & Clybourn Ave,17232
Adler Planetarium,17016
Loomis St & Lexington St,16852
Broadway & Cornelia Ave,16751
Broadway & Waveland Ave,16726
Lincoln Ave & Fullerton Ave,16255
Damen Ave & Pierce Ave,16092
Fairbanks Ct & Grand Ave,16016
Clark St & Schiller St,15996
Federal St & Polk St,15990
St. Clair St & Erie St,15784
Franklin St & Jackson Blvd,15735
Peoria St & Jackson Blvd,15656
Clark St & Drummond Pl,15566
Wells St & Evergreen Ave,15527
DuSable Lake Shore Dr & Belmont Ave,15525
McClurg Ct & Erie St,15452
Ravenswood Ave & Lawrence Ave,15401
Larrabee St & Webster Ave,15398
Halsted St & Polk St,15326
Pine Grove Ave & Waveland Ave,15233
Lakeview Ave & Fullerton Pkwy,15099
LaSalle St & Jackson Blvd,15052
State St & Randolph St,14936
DuSable Lake Shore Dr & Wellington Ave,14769
Southport Ave & Waveland Ave,14753
Aberdeen St & Jackson Blvd,14645
Clark St & Newport St,14496
State St & 33rd St,14393
Sheffield Ave & Waveland Ave,14340
Franklin St & Lake St,14273
Halsted St & Roscoe St,14230
Buckingham Fountain,14223
Kimbark Ave & 53rd St,14165
Sedgwick St & Huron St,14122
Southport Ave & Roscoe St,14111
Rush St & Cedar St,13941
Cityfront Plaza Dr & Pioneer Ct,13771
Halsted St & Wrightwood Ave,13615
Sheridan Rd & Irving Park Rd,13596
State St & Kinzie St,13403
Rush St & Superior St,13351
MLK Jr Dr & 29th St,13278
Milwaukee Ave & Grand Ave,13260
Mies van der Rohe Way & Chestnut St,13216
Franklin St & Illinois St,13102
Stockton Dr & Wrightwood Ave,13069
Wabash Ave & 9th St,12947
Sheffield Ave & Wellington Ave,12923
Sheffield Ave & Wrightwood Ave,12724
Mies van der Rohe Way & Chicago Ave,12500
Pine Grove Ave & Irving Park Rd,12409
Sheffield Ave & Webster Ave,12394
Wabash Ave & Wacker Pl,12369
Bissell St & Armitage Ave*,12350
Clarendon Ave & Gordon Ter,12321
Sedgwick St & North Ave,12270
Franklin St & Monroe St,12187
Broadway & Belmont Ave,12180
Desplaines St & Jackson Blvd,12134
Field Blvd & South Water St,11945
Lincoln Park Conservatory,11939
Clark St & Wellington Ave,11910
900 W Harrison St,11900
Michigan Ave & Jackson Blvd,11862
Michigan Ave & 14th St,11820
Clark St & Winnemac Ave,11810
Calumet Ave & 33rd St,11786
Broadway & Sheridan Rd,11752
Sheffield Ave & Kingsbury St,11745
Sedgwick St & Webster Ave,11708
Sheridan Rd & Montrose Ave,11671
Halsted St & Dickens Ave,11487
Ogden Ave & Chicago Ave,11350
Field Museum,11320
Lakefront Trail & Bryn Mawr Ave,11290
Wells St & Walton St,11169
Franklin St & Chicago Ave,11101
Clark St & Chicago Ave,11067
Racine Ave & Fullerton Ave,11045
Canal St & Jackson Blvd,10900
Shore Dr & 55th St,10826
Clark St & North Ave,10805
Wabash Ave & Adams St,10803
Morgan St & Lake St*,10783
Wells St & Randolph St,10663
Aberdeen St & Randolph St,10628
Dayton St & North Ave,10517
LaSalle Dr & Huron St,10493
Wood St & Milwaukee Ave,10469
Southport Ave & Wellington Ave,10438
Wells St & Polk St,10348
Stetson Ave & South Water St,10347
Burnham Harbor,10338
Canal St & Monroe St,10309
Milwaukee Ave & Wabansia Ave,10274
Broadway & Wilson Ave,10235
Franklin St & Adams St (Temp),10220
Clark St & Grace St,10158
Burling St & Diversey Pkwy,10136
May St & Taylor St,10097
Ritchie Ct & Banks St,10067
Elizabeth St & Randolph St,10055
Honore St & Division St,10009
Michigan Ave & Madison St,9957
Rush St & Hubbard St,9870
Sangamon St & Lake St,9846
Wilton Ave & Diversey Pkwy,9809
Damen Ave & Cortland St,9735
Michigan Ave & Pearson St,9644
Clarendon Ave & Junior Ter,9624
Clifton Ave & Armitage Ave,9607
California Ave & Milwaukee Ave,9571
Halsted St & Maxwell St,9532
Woodlawn Ave & 55th St,9513
Racine Ave & Belmont Ave,9469
Lincoln Ave & Diversey Pkwy,9376
Southport Ave & Belmont Ave,9317
Larrabee St & Division St,9236
Financial Pl & Ida B Wells Dr,9190
Michigan Ave & 18th St,9183
Elston Ave & Cortland St,9165
Dearborn St & Adams St,9144
Blackstone Ave & 59th St,8990
Aberdeen St & Monroe St,8987
Clark St & Berwyn Ave,8872
Southport Ave & Wrightwood Ave,8839
Lake Park Ave & 56th St,8828
Wacker Dr & Washington St,8756
Sheridan Rd & Buena Ave,8698
Halsted St & Willow St,8655
Lincoln Ave & Melrose St,8549
Damen Ave & Chicago Ave,8528
Kedzie Ave & Milwaukee Ave,8473
Carpenter St & Huron St,8471
Calumet Ave & 18th St,8461
Jefferson St & Monroe St,8346
Clark St & Leland Ave,8322
Ogden Ave & Race Ave,8215
Wolcott Ave & Polk St,8202
Larrabee St & Oak St,8172
Paulina St & Flournoy St,8076
Desplaines St & Randolph St,8057
State St & Pearson St,8057
Ellis Ave & 58th St,8046
Green St & Randolph St*,7991
State St & Van Buren St,7976
State St & Harrison St,7958
Western Ave & Winnebago Ave,7958
Orleans St & Hubbard St,7944
Wabash Ave & 16th St,7930
Sheffield Ave & Willow St,7862
Woodlawn Ave & 58th St,7741
McCormick Place,7692
Clark St & Ida B Wells Dr,7678
Orleans St & Chestnut St (NEXT Apts),7572
Rhodes Ave & 32nd St,7523
LaSalle St & Washington St,7491
Sangamon St & Washington Blvd,7454
Streeter Dr/Grand Ave,7447
Cornell Ave & Hyde Park Blvd,7401
Greenview Ave & Fullerton Ave,7336
Halsted St & Roosevelt Rd,7320
Damen Ave & Division St,7316
Ada St & Washington Blvd,7181
Green St & Washington Blvd,7165
Throop St & Taylor St,7163
Lincoln Ave & Roscoe St*,7150
Eckhart Park,7111
Southport Ave & Irving Park Rd,7025
Larrabee St & Armitage Ave,6969
Fairbanks St & Superior St,6812
Lakefront Trail & Wilson Ave,6771
Damen Ave & Thomas St (Augusta Blvd),6743
Racine Ave & Congress Pkwy,6731
Noble St & Milwaukee Ave,6728
Wells St & Institute Pl,6705
Michigan Ave & Ida B Wells Dr,6646
Wood St & Chicago Ave,6525
Lake Park Ave & 53rd St,6514
Delano Ct & Roosevelt Rd,6509
Ashland Ave & Blackhawk St,6482
Broadway & Argyle St,6398
Clinton St & Tilden St,6379
Clinton St & Roosevelt Rd,6377
Walsh Park,6302
Clark St & Bryn Mawr Ave,6282
Broadway & Berwyn Ave,6273
Marine Dr & Ainslie St,6247
Clark St & Montrose Ave,6207
Racine Ave & Wrightwood Ave,6160
Paulina Ave & North Ave,6114
Southport Ave & Clybourn Ave,6111
Elizabeth St & Fulton St,6039
Sheridan Rd & Argyle St,5995
Ashland Ave & Chicago Ave,5941
Larrabee St & North Ave,5916
Western Ave & Leland Ave,5887
Racine Ave & 18th St,5878
Ashland Ave & Grace St,5823
Ashland Ave & Augusta Blvd,5816
Ashland Ave & Wellington Ave,5797
University Ave & 59th St,5794
Hermitage Ave & Polk St,5740
Broadway & Granville Ave,5724
Clarendon Ave & Leland Ave,5722
Broadway & Thorndale Ave,5647
Cannon Dr & Fullerton Ave,5634
Canal St & Taylor St,5630
Loomis St & Jackson Blvd,5610
Wood St & Taylor St (Temp),5501
Sheridan Rd & Lawrence Ave,5491
Wood St & Augusta Blvd,5484
Orleans St & Elm St,5471
Damen Ave & Leland Ave,5437
Ellis Ave & 53rd St,5427
Dearborn St & Van Buren St,5309
Winthrop Ave & Lawrence Ave,5296
Western Ave & Walton St,5270
Greenview Ave & Diversey Pkwy,5194
Clark St & 9th St (AMLI),5160
Ravenswood Ave & Irving Park Rd,5159
Leavitt St & Armitage Ave,5119
Blackstone Ave & Hyde Park Blvd,5109
Lincoln Ave & Sunnyside Ave,5031
Racine Ave & Washington Blvd,5000
Campbell Ave & North Ave,4994
LaSalle St & Adams St,4926
Larrabee St & Menomonee St,4925
Sheridan Rd & Noyes St (NU),4917
Clybourn Ave & Division St,4863
Wilton Ave & Diversey Pkwy*,4858
Wolcott (Ravenswood) Ave & Montrose Ave,4805
Ashland Ave & Lake St,4797
Wentworth Ave & Cermak Rd*,4780
Seeley Ave & Roscoe St,4766
Ashland Ave & Wrightwood Ave,4752
Morgan St & 18th St,4744
Benson Ave & Church St,4720
Emerald Ave & 31st St,4718
Fort Dearborn Dr & 31st St*,4718
State St & 35th St,4678
Damen Ave & Grand Ave,4676
Blue Island Ave & 18th St,4656
Paulina St & Montrose Ave,4644
Calumet Ave & 21st St,4615
Ashland Ave & Grand Ave,4567
Damen Ave & Charleston St,4543
Chicago Ave & Sheridan Rd,4530
N Green St & W Lake St,4497
Albany Ave & Bloomingdale Ave,4489
Western Ave & Division St,4470
Broadway & Ridge Ave,4458
California Ave & Cortez St,4414
Artesian Ave & Hubbard St,4357
Spaulding Ave & Armitage Ave,4314
Shields Ave & 31st St,4312
Lincoln Ave & Belle Plaine Ave,4279
Sedgwick St & Schiller St,4256
Leavitt St & North Ave,4254
Griffin Museum of Science and Industry,4209
Wentworth Ave & Cermak Rd,4198
Leavitt St & Chicago Ave,4179
Logan Blvd & Elston Ave,4127
Stave St & Armitage Ave,4102
Drexel Ave & 60th St,4080
Kedzie Ave & Palmer Ct,4021
Humboldt Blvd & Armitage Ave,4017
